Last_Three_Digits,Date,Month,Years,First_Price,Last_Two_Digits_Upper,Three_Digits_Upper,Last_Two_Digits_Under,Datetime,day_of_week,weekday_name
210 847 274 439,16,8,2562,775476,76,476,89,2019-08-16,4,ศุกร์
149 912 563 580,1,8,2562,387006,6,6,58,2019-08-01,3,พฤหัสบดี
135 983 562 795,15,7,2562,369765,65,765,88,2019-07-15,0,จันทร์
355 901 113 556,1,7,2562,943647,47,647,86,2019-07-01,0,จันทร์
239 864 006 375,16,6,2562,174055,55,55,29,2019-06-16,6,อาทิตย์
625 884 127 800,1,6,2562,516461,61,461,46,2019-06-01,5,เสาร์
589 713 215 560,16,5,2562,962526,26,526,71,2019-05-16,3,พฤหัสบดี
669 949 018 828,2,5,2562,61324,24,324,25,2019-05-02,3,พฤหัสบดี
043 476 374 699,16,4,2562,570331,31,331,23,2019-04-16,1,อังคาร
512 930 966 968,1,4,2562,109767,67,767,52,2019-04-01,0,จันทร์
888 959 403 975,16,3,2562,724628,28,628,64,2019-03-16,5,เสาร์
148 883 154 877,1,3,2562,345650,50,650,65,2019-03-01,4,ศุกร์
137 999 830 837,16,2,2562,74824,24,824,56,2019-02-16,5,เสาร์
881 910 612 879,1,2,2562,967134,34,134,4,2019-02-01,4,ศุกร์
643 779 197 948,17,1,2562,197079,79,79,65,2019-01-17,3,พฤหัสบดี
206 412 127 660,30,12,2561,735867,67,867,2,2018-12-30,6,อาทิตย์
031 913 701 884,16,12,2561,356564,64,564,62,2018-12-16,6,อาทิตย์
480 948 297 369,1,12,2561,21840,40,840,67,2018-12-01,5,เสาร์
045 307 561 988,16,11,2561,989903,3,903,16,2018-11-16,4,ศุกร์
471 930 140 876,1,11,2561,149840,40,840,58,2018-11-01,3,พฤหัสบดี
384 576 046 509,16,10,2561,200515,15,515,93,2018-10-16,1,อังคาร
186 392 192 212,1,10,2561,452643,43,643,99,2018-10-01,0,จันทร์
594 726 561 810,16,9,2561,149760,60,760,79,2018-09-16,6,อาทิตย์
323 539 155 297,1,9,2561,734510,10,510,26,2018-09-01,5,เสาร์
464 512 097 202,16,8,2561,586117,17,117,10,2018-08-16,3,พฤหัสบดี
340 670 591 815,1,8,2561,386602,2,602,78,2018-08-01,2,พุธ
832 903 549 726,16,7,2561,596324,24,324,27,2018-07-16,0,จันทร์
403 530 138 362,1,7,2561,963623,23,623,83,2018-07-01,6,อาทิตย์
429 901 210 217,16,6,2561,223131,31,131,46,2018-06-16,5,เสาร์
432 507 132 868,1,6,2561,988117,17,117,95,2018-06-01,4,ศุกร์
310 553 248 650,16,5,2561,75629,29,629,20,2018-05-16,2,พุธ
130 357 047 506,2,5,2561,248038,38,38,85,2018-05-02,2,พุธ
527 980 225 602,16,4,2561,739229,29,229,60,2018-04-16,0,จันทร์
273 654 076 526,1,4,2561,412073,73,73,85,2018-04-01,6,อาทิตย์
131 787 638 924,16,3,2561,218559,59,559,82,2018-03-16,4,ศุกร์
064 720 205 489,2,3,2561,759415,15,415,29,2018-03-02,4,ศุกร์
318 870 589 723,16,2,2561,309915,15,915,39,2018-02-16,4,ศุกร์
007 388 230 748,1,2,2561,26853,53,853,31,2018-02-01,3,พฤหัสบดี
106 947 181 519,17,1,2561,203823,23,823,50,2018-01-17,2,พุธ
624 799 236 397,30,12,2560,911234,34,234,98,2017-12-30,5,เสาร์
373 495 504 953,16,12,2560,955596,96,596,89,2017-12-16,5,เสาร์
616 836 290 938,1,12,2560,451005,5,5,33,2017-12-01,4,ศุกร์
303 626 257 601,16,11,2560,292391,91,391,98,2017-11-16,3,พฤหัสบดี
831 961 477 628,1,11,2560,533726,26,726,85,2017-11-01,2,พุธ
165 425 036 485,16,10,2560,413494,94,494,86,2017-10-16,0,จันทร์
180 971 128 287,1,10,2560,880714,14,714,52,2017-10-01,6,อาทิตย์
611 726 462 952,16,9,2560,170143,43,143,71,2017-09-16,5,เสาร์
172 647 340 388,1,9,2560,143224,24,224,65,2017-09-01,4,ศุกร์
345 679 195 278,16,8,2560,715431,31,431,37,2017-08-16,2,พุธ
115 302 253 945,1,8,2560,756519,19,519,36,2017-08-01,1,อังคาร
061 386 787 989,16,7,2560,820327,27,327,87,2017-07-16,6,อาทิตย์
584 835 390 823,1,7,2560,112360,60,360,26,2017-07-01,5,เสาร์
226 489 005 688,16,6,2560,943142,42,142,47,2017-06-16,4,ศุกร์
626 878 373 740,1,6,2560,53630,30,630,61,2017-06-01,3,พฤหัสบดี
121 218 581 881,16,5,2560,454891,91,891,53,2017-05-16,1,อังคาร
008 396 490 603,2,5,2560,8656,56,656,35,2017-05-02,1,อังคาร
573 949 773 923,16,4,2560,816729,29,729,40,2017-04-16,6,อาทิตย์
766 973 241 807,1,4,2560,392785,85,785,80,2017-04-01,5,เสาร์
020 057 500 709,16,3,2560,273863,63,863,92,2017-03-16,3,พฤหัสบดี
324 918 694 941,1,3,2560,978453,53,453,78,2017-03-01,2,พุธ
450 560 052 577,16,2,2560,229116,16,116,14,2017-02-16,3,พฤหัสบดี
